game_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,Money Line
0041700223,1,L,1,2,0.333,240,35,84,0.417,11,29,0.379,11,15,1,5,38,43,17,3,4,16,19,92,1610612745,2017,176.00
0041700223,0,W,2,1,0.667,240,42,86,0.488,11,36,0.306,18,20,1,3,38,41,26,8,7,8,19,113,1610612762,2017,-196.00
0041700212,1,W,2,0,1,240,37,82,0.451,15,36,0.417,19,24,1,5,36,41,23,7,3,9,16,108,1610612755,2017,147.00
0041700212,0,L,0,2,0,240,40,92,0.435,13,33,0.394,10,14,1,16,33,49,30,7,4,11,21,103,1610612738,2017,-163.00
0041700202,0,W,2,0,1,240,50,84,0.595,11,26,0.423,17,23,1,5,29,34,25,5,3,3,14,128,1610612761,2017,267.00
0041700202,1,L,0,2,0,240,44,81,0.543,12,30,0.4,10,11,1,5,30,35,26,2,2,11,24,110,1610612739,2017,-303.00
0041700222,0,W,1,1,0.5,240,43,83,0.518,15,32,0.469,15,25,1,5,43,48,26,4,5,17,24,116,1610612745,2017,654.00
0041700222,1,L,1,1,0.5,240,38,95,0.4,10,37,0.27,22,27,1,11,38,49,22,11,7,7,21,108,1610612762,2017,-824.00
0041700232,0,L,0,2,0,240,48,105,0.457,13,37,0.351,7,9,1,10,36,46,33,12,5,13,19,116,1610612744,2017,577.00
0041700232,1,W,2,0,1,240,43,91,0.473,13,40,0.325,22,27,1,7,42,49,36,10,8,16,18,121,1610612740,2017,-711.00
0041700201,0,W,1,0,1,265,42,102,0.412,14,35,0.4,15,21,1,13,32,45,25,5,5,5,23,113,1610612761,2017,246.00
0041700201,1,L,0,1,0,265,39,91,0.429,9,28,0.321,25,31,1,15,35,50,26,2,6,13,22,112,1610612739,2017,-278.00
0041700211,1,W,1,0,1,240,41,85,0.482,17,35,0.486,18,19,1,5,31,36,27,4,4,10,21,117,1610612755,2017,180.00
0041700211,0,L,0,1,0,240,35,83,0.422,5,26,0.192,26,35,1,11,34,45,22,7,2,12,19,101,1610612738,2017,-201.00
0041700221,0,L,0,1,0,240,38,76,0.5,7,22,0.318,13,22,1,6,31,37,20,11,3,18,20,96,1610612745,2017,687.00
0041700221,1,W,1,0,1,240,37,82,0.451,17,32,0.531,19,24,1,8,35,43,18,10,5,14,21,110,1610612762,2017,-874.00
0041700137,1,W,4,3,0.571,240,32,74,0.432,10,29,0.345,31,40,1,15,29,44,18,6,4,12,21,105,1610612754,2017,-235.00
0041700137,0,L,3,4,0.429,240,36,80,0.45,10,31,0.323,19,24,1,10,27,37,15,6,0,11,28,101,1610612739,2017,210.00
0041700231,0,L,0,1,0,240,42,96,0.438,8,25,0.32,9,11,1,7,35,42,24,7,3,12,24,101,1610612744,2017,269.00
0041700231,1,W,1,0,1,240,44,91,0.484,11,27,0.407,24,32,1,13,44,57,33,8,10,13,16,123,1610612740,2017,-305.00
0041700117,1,W,4,3,0.571,240,45,84,0.536,9,26,0.346,13,21,1,11,31,42,28,9,4,14,23,112,1610612749,2017,-200.00
0041700117,0,L,3,4,0.429,240,35,74,0.473,9,27,0.333,17,18,1,4,28,32,21,4,3,15,20,96,1610612738,2017,180.00
0041700176,1,W,4,2,0.667,240,37,82,0.451,10,26,0.385,12,23,1,11,29,40,16,9,5,13,17,96,1610612760,2017,-262.00
0041700176,0,L,2,4,0.333,240,37,93,0.398,10,34,0.294,7,13,1,15,34,49,20,6,4,13,21,91,1610612762,2017,233.00
0041700136,0,L,3,3,0.5,240,33,79,0.418,12,38,0.316,9,16,1,7,26,33,16,4,2,14,17,87,1610612754,2017,114.00
0041700136,1,W,3,3,0.5,240,49,87,0.563,15,30,0.5,8,14,1,9,36,45,27,9,1,7,18,121,1610612739,2017,-126.00
0041700106,1,L,2,4,0.333,240,32,79,0.405,8,22,0.364,20,21,1,11,31,42,12,3,5,14,19,92,1610612761,2017,116.00
0041700106,0,W,4,2,0.667,240,40,90,0.444,7,25,0.28,15,19,1,16,31,47,18,8,6,6,20,102,1610612764,2017,-128.00
0041700116,0,L,3,3,0.5,240,30,81,0.37,10,36,0.278,16,19,1,6,33,39,18,3,3,9,19,86,1610612749,2017,170.00
0041700116,1,W,3,3,0.5,240,38,75,0.507,8,26,0.308,13,21,1,7,41,48,19,6,3,9,16,97,1610612738,2017,-189.00
0041700175,0,L,3,2,0.6,240,33,81,0.407,13,38,0.342,20,26,1,10,36,46,19,5,6,16,24,99,1610612760,2017,127.00
0041700175,1,W,2,3,0.4,240,39,89,0.438,9,21,0.429,20,24,1,7,37,44,13,9,3,8,21,107,1610612762,2017,-140.00
0041700145,0,L,1,4,0.2,240,40,79,0.506,9,19,0.474,15,20,1,5,33,38,23,2,3,8,18,104,1610612745,2017,799.00
0041700145,1,W,4,1,0.8,240,45,88,0.511,18,44,0.409,14,19,1,8,32,40,29,3,5,4,17,122,1610612750,2017,-1051.00
0041700135,1,W,3,2,0.6,240,31,75,0.413,10,32,0.313,26,27,1,10,27,37,16,6,3,14,21,98,1610612754,2017,-275.00
0041700135,0,L,2,3,0.4,240,34,71,0.479,6,20,0.3,21,27,1,7,27,34,23,7,3,14,22,95,1610612739,2017,244.00
0041700105,0,L,2,3,0.4,240,37,90,0.411,5,26,0.192,19,22,1,14,36,50,21,6,4,15,18,98,1610612761,2017,256.00
0041700105,1,W,3,2,0.6,240,38,82,0.463,11,25,0.44,21,28,1,6,29,35,26,9,5,10,18,108,1610612764,2017,-290.00
0041700155,1,W,4,1,0.8,240,37,83,0.446,5,27,0.185,20,25,1,8,39,47,25,5,5,10,19,99,1610612759,2017,-781.00
0041700155,0,L,1,4,0.2,240,32,86,0.372,7,30,0.233,20,22,1,13,35,48,21,5,0,13,22,91,1610612744,2017,625.00
0041700125,1,W,4,1,0.8,240,34,81,0.42,7,28,0.25,29,36,1,9,44,53,27,7,2,15,20,104,1610612748,2017,-550.00
0041700125,0,L,1,4,0.2,240,34,88,0.386,10,35,0.286,13,22,1,10,30,40,24,7,6,11,32,91,1610612755,2017,461.00
0041700115,1,W,3,2,0.6,240,29,69,0.42,10,31,0.323,24,32,1,5,45,50,22,7,7,17,21,92,1610612749,2017,-192.00
0041700115,0,L,2,3,0.4,240,32,87,0.368,9,33,0.273,14,20,1,7,30,37,21,10,3,11,23,87,1610612738,2017,173.00
0041700174,1,W,3,1,0.75,240,41,91,0.451,12,34,0.353,19,27,1,10,39,49,21,7,7,11,23,113,1610612760,2017,-184.00
0041700174,0,L,1,3,0.25,240,33,84,0.393,5,26,0.192,25,30,1,9,37,46,10,8,6,14,21,96,1610612762,2017,166.00
0041700144,1,L,1,3,0.25,240,39,84,0.464,8,22,0.364,14,23,1,10,38,48,23,4,1,16,22,100,1610612745,2017,218.00
0041700144,0,W,3,1,0.75,240,40,92,0.435,16,43,0.372,23,26,1,10,36,46,20,11,6,6,17,119,1610612750,2017,-244.00
0041700154,0,L,3,1,0.75,240,34,90,0.378,7,28,0.25,15,17,1,24,37,61,19,6,2,16,22,90,1610612759,2017,-267.00
0041700154,1,W,1,3,0.25,240,37,81,0.457,15,28,0.536,14,19,1,7,27,34,20,6,4,8,18,103,1610612744,2017,237.00
0041700134,0,W,2,2,0.5,240,35,78,0.449,12,34,0.353,22,26,1,8,37,45,17,4,7,11,18,104,1610612754,2017,-123.00
0041700134,1,L,2,2,0.5,240,40,93,0.43,12,33,0.364,8,13,1,11,36,47,25,7,5,8,19,100,1610612739,2017,111.00
0041700114,0,L,2,2,0.5,240,36,87,0.414,10,29,0.345,20,25,1,16,27,43,22,6,3,8,21,102,1610612749,2017,211.00
0041700114,1,W,2,2,0.5,240,38,73,0.521,10,23,0.435,18,24,1,2,34,36,24,7,14,9,24,104,1610612738,2017,-237.00
0041700104,1,W,2,2,0.5,240,39,85,0.459,7,17,0.412,21,31,1,9,31,40,23,10,8,13,23,106,1610612761,2017,101.00
0041700104,0,L,2,2,0.5,240,34,79,0.43,7,18,0.389,23,30,1,9,32,41,19,9,7,18,26,98,1610612764,2017,-111.00
0041700173,1,W,2,1,0.667,240,42,80,0.525,13,34,0.382,18,27,1,13,35,48,24,12,5,19,20,115,1610612760,2017,-212.00
0041700173,0,L,1,2,0.333,240,37,78,0.474,14,28,0.5,14,19,1,6,27,33,17,11,3,17,23,102,1610612762,2017,190.00
0041700164,0,L,0,4,0,240,50,95,0.526,10,27,0.37,13,16,1,6,27,33,20,8,2,6,28,123,1610612740,2017,239.00
0041700164,1,W,4,0,1,240,45,78,0.577,9,25,0.36,32,39,1,7,36,43,28,5,6,14,21,131,1610612757,2017,-270.00
0041700143,1,W,1,2,0.333,240,45,90,0.5,15,27,0.556,16,22,1,8,33,41,29,9,3,7,16,121,1610612745,2017,209.00
0041700143,0,L,2,1,0.667,240,37,81,0.457,15,41,0.366,16,25,1,7,32,39,18,4,3,10,18,105,1610612750,2017,-234.00
0041700124,0,W,3,1,0.75,240,36,84,0.429,7,31,0.226,27,35,1,17,40,57,22,12,5,26,25,106,1610612748,2017,-172.00
0041700124,1,L,1,3,0.25,240,41,94,0.436,7,19,0.368,13,25,1,13,30,43,21,18,4,19,32,102,1610612755,2017,155.00
0041700133,0,L,1,2,0.333,240,34,77,0.442,10,32,0.313,12,16,1,9,27,36,17,11,3,16,23,90,1610612754,2017,111.00
0041700133,1,W,2,1,0.667,240,34,73,0.466,8,26,0.308,16,20,1,7,30,37,17,8,3,17,22,92,1610612739,2017,-123.00
